id,id_unique,lang1,lang2,lang_strength,dialect_note1,dialect_note2,is_producer
1,1,EN,ES,1,El Paso,Chihuahua City,
2,2,EN,ES,4,El Paso,Chihuahua City,
3,3,EN,ES,2,El Paso,El Paso/Juarez,*
4,4,EN,ES,3,El Paso,El Paso/Juarez,
5,5,EN,ES,3,El Paso,El Paso/Juarez,
6,6,EN,ES,1,El Paso,Chihuahua City,
7,7,EN,ES,3,El Paso,El Paso/Juarez,
8,3,EN,ES,2,El Paso,El Paso/Juarez,*
9,8,EN,ES,1,El Paso,El Paso/Juarez,
10,3,EN,ES,2,El Paso,El Paso/Juarez,*
11,9,EN,ES,3,El Paso,El Paso/Juarez,
12,3,EN,ES,2,El Paso,El Paso/Juarez,*
13,3,EN,ES,2,El Paso,El Paso/Juarez,*
14,4,EN,ES,3,El Paso,El Paso/Juarez,
15,10,EN,ES,2,El Paso,El Paso/Juarez,
16,10,EN,ES,4,El Paso,Chihuahua City,
17,11,EN,ES,3,El Paso,El Paso/Juarez,
18,12,EN,ES,5,El Paso,El Paso/Juarez,
19,13,EN,ES,2,El Paso,El Paso/Juarez,
20,3,EN,ES,2,El Paso,El Paso/Juarez,*
21,14,EN,ES,3,El Paso,Other: Guanajuato,
22,3,EN,ES,2,El Paso,El Paso/Juarez,*
23,15,EN,ES,2,California,California,
24,16,EN,ES,4,El Paso,El Paso/Juarez,
25,17,EN,ES,4,El Paso,Chihuahua City,
26,18,EN,ES,2,El Paso,El Paso/Juarez,
27,13,EN,ES,2,El Paso,El Paso/Juarez,
28,19,EN,ES,4,El Paso,El Paso/Juarez,
29,14,EN,ES,3,El Paso,Other: Guanajuato,
30,20,EN,ES,1,El Paso,El Paso/Juarez,
31,11,EN,ES,3,El Paso,El Paso/Juarez,
32,21,EN,ES,3,El Paso,El Paso/Juarez,
33,3,EN,ES,2,El Paso,El Paso/Juarez,*
34,13,EN,ES,2,El Paso,El Paso/Juarez,
35,22,EN,ES,3,El Paso,El Paso/Juarez,
36,12,EN,ES,5,El Paso,El Paso/Juarez,
37,3,EN,ES,2,El Paso,El Paso/Juarez,*
38,23,EN,ES,1,El Paso,El Paso/Juarez,
39,3,EN,ES,2,El Paso,El Paso/Juarez,*
40,23,EN,ES,1,El Paso,El Paso/Juarez,
41,3,EN,ES,2,El Paso,El Paso/Juarez,*
42,14,EN,ES,3,El Paso,Chihuahua City,
43,20,EN,ES,1,El Paso,El Paso/Juarez,
44,14,EN,ES,3,El Paso,Chihuahua City,
45,3,EN,ES,2,El Paso,El Paso/Juarez,*
46,23,EN,ES,1,El Paso,El Paso/Juarez,
47,20,EN,ES,2,El Paso,El Paso/Juarez,
48,14,EN,ES,3,El Paso,Chihuahua City,
49,3,EN,ES,2,El Paso,El Paso/Juarez,*
50,23,EN,ES,1,El Paso,El Paso/Juarez,
51,3,EN,ES,2,El Paso,El Paso/Juarez,*
52,23,EN,ES,1,El Paso,El Paso/Juarez,
53,3,EN,ES,2,El Paso,El Paso/Juarez,*
54,23,EN,ES,1,El Paso,El Paso/Juarez,
55,3,EN,ES,2,El Paso,El Paso/Juarez,*
56,23,EN,ES,1,El Paso,El Paso/Juarez,
57,20,EN,ES,2,El Paso,El Paso/Juarez,
58,14,EN,ES,3,El Paso,Chihuahua City,
59,24,EN,ES,1,El Paso,El Paso/Juarez,
60,25,EN,ES,1,El Paso,El Paso/Juarez,
61,24,EN,ES,1,El Paso,El Paso/Juarez,
62,26,EN,ES,5,El Paso,Chihuahua City,
63,25,EN,ES,2,El Paso,El Paso/Juarez,
64,3,EN,ES,3,El Paso,El Paso/Juarez,*
65,27,EN,ES,5,El Paso,El Paso,
66,24,EN,ES,1,El Paso,El Paso,
67,28,EN,JA,5,El Paso,Tokyo,
100000,28,EN,JA,5,El Paso,Tokyo,
68,29,EN,JA,2,Michigan,Tokyo,
100001,29,EN,JA,2,Michigan,Tokyo,
69,3,EN,ES,3,El Paso,El Paso/Juarez,*
70,30,EN,ES,1,El Paso,El Paso/Juarez,
71,30,EN,ES,2,El Paso,El Paso/Juarez,
72,31,EN,ES,3,El Paso,El Paso/Juarez,
73,25,EN,ES,2,El Paso,El Paso/Juarez,
74,3,EN,ES,3,El Paso,El Paso/Juarez,*
75,32,EN,ES,5,El Paso,El Paso/Juarez,
76,32,EN,ES,5,El Paso,El Paso/Juarez,
77,27,EN,ES,5,El Paso,El Paso/Juarez,
78,3,EN,ES,3,El Paso,El Paso/Juarez,*
79,33,EN,BN,3,British English,Regional,
100002,33,EN,BN,3,British English,Regional,
80,34,EN,BN,3,British English,Bengal(India),
100003,34,EN,BN,3,British English,Bengal(India),
81,35,EN,ES,4,El Paso,El Paso/Juarez,
82,24,EN,ES,1,El Paso,El Paso/Juarez,
83,30,EN,ES,2,El Paso,El Paso/Juarez,
84,3,EN,ES,3,El Paso,El Paso/Juarez,*
85,27,EN,ES,5,El Paso,El Paso/Juarez,
86,30,EN,ES,2,El Paso,El Paso/Juarez,
87,36,EN,FR,2,American English,Paris Region,
100004,36,EN,FR,2,American English,Paris Region,
88,37,EN,FR,5,Western American,Parisian ,
100005,37,EN,FR,5,Western American,Parisian ,
89,34,EN,BN,3,Indo-British(British English),Indian(Kolkata),
100006,34,EN,BN,3,Indo-British(British English),Indian(Kolkata),
90,33,EN,BN,3,British English,Bangladeshi,
100007,33,EN,BN,3,British English,Bangladeshi,
91,35,EN,ES,4,El Paso,El Paso/Juarez,
92,24,EN,ES,1,El Paso,El Paso/Juarez,
93,25,EN,ES,2,El Paso,El Paso/Juarez,
94,3,EN,ES,3,El Paso,El Paso/Juarez,*
95,24,EN,ES,1,El Paso,El Paso/Juarez,
96,35,EN,ES,4,El Paso,El Paso/Juarez,
97,38,EN,ES,5,El Paso,El Paso/Juarez,
98,3,EN,ES,3,El Paso,El Paso/Juarez,*
99,35,EN,ES,4,El Paso,El Paso/Juarez,
100,24,EN,ES,1,El Paso,El Paso/Juarez,
101,30,EN,ES,3,El Paso,El Paso/Juarez,
102,39,EN,ES,1,El Paso,El Paso/Juarez,
103,30,EN,ES,2,El Paso,El Paso/Juarez,
104,24,EN,ES,3,El Paso,El Paso/Juarez,
105,40,EN,ES,2,El Paso,El Paso/Juarez,*
106,23,EN,ES,1,El Paso,El Paso/Juarez,
107,40,EN,ES,2,El Paso,El Paso/Juarez,*
108,41,EN,ES,3,El Paso,El Paso/Juarez,
109,40,EN,ES,2,El Paso,El Paso/Juarez,*
110,42,EN,ES,3,El Paso,El Paso/Juarez,
111,40,EN,ES,2,El Paso,El Paso/Juarez,*
112,43,EN,ES,4,El Paso,El Paso/Juarez,
113,40,EN,ES,2,El Paso,El Paso/Juarez,*
114,44,EN,ES,3,El Paso,El Paso/Juarez,
115,40,EN,ES,2,El Paso,El Paso/Juarez,*
116,45,EN,ES,1,East Texas,East Texas,
117,14,EN,ES,3,El Paso,Chihuahua City,
118,20,EN,ES,2,El Paso,El Paso/Juarez,
119,44,EN,ES,3,El Paso,El Paso/Juarez,
120,41,EN,ES,3,El Paso,El Paso/Juarez,
121,40,EN,ES,2,El Paso,El Paso/Juarez,*
122,5,EN,ES,4,El Paso,El Paso/Juarez,
123,40,EN,ES,2,El Paso,El Paso/Juarez,*
124,46,EN,ES,5,El Paso,El Paso/Juarez,
125,40,EN,ES,2,El Paso,El Paso/Juarez,*
126,47,EN,ES,1,El Paso,El Paso/Juarez,
127,40,EN,ES,2,El Paso,El Paso/Juarez,*
128,43,EN,ES,4,El Paso,El Paso/Juarez,
129,40,EN,ES,2,El Paso,El Paso/Juarez,*
130,48,EN,ES,5,El Paso,El Paso/Juarez,
131,49,EN,ES,4,El Paso,El Paso/Juarez,
132,50,EN,ES,2,El Paso,El Paso/Juarez,
133,43,EN,ES,4,El Paso,El Paso/Juarez,
134,51,EN,ES,2,El Paso,El Paso/Juarez,
135,40,EN,ES,2,El Paso,El Paso/Juarez,*
136,52,EN,ES,3,El Paso,El Paso/Juarez,
137,40,EN,ES,2,El Paso,El Paso/Juarez,*
138,38,EN,ES,5,El Paso,El Paso/Juarez,
139,53,EN,ES,4,El Paso,El Paso/Juarez,
140,54,EN,ES,4,El Paso,El Paso/Juarez,
141,55,EN,ES,2,El Paso,El Paso/Juarez,
142,38,EN,ES,5,El Paso,El Paso/Juarez,
143,49,EN,ES,4,El Paso,El Paso/Juarez,
144,50,EN,ES,2,El Paso,El Paso/Juarez,
145,40,EN,ES,2,El Paso,El Paso/Juarez,*
146,38,EN,ES,5,El Paso,El Paso/Juarez,
147,49,EN,ES,4,El Paso,El Paso/Juarez,
148,56,EN,ES,4,El Paso,El Paso/Juarez,
149,57,EN,ES,1,Odessa,Ojinaga,
150,58,EN,ES,1,El Paso,El Paso/Juarez,
151,40,EN,ES,2,El Paso,El Paso/Juarez,*
152,38,EN,ES,5,El Paso,El Paso/Juarez,
153,49,EN,ES,4,El Paso,El Paso/Juarez,
154,56,EN,ES,4,El Paso,El Paso/Juarez,
155,40,EN,ES,2,El Paso,El Paso/Juarez,*
156,38,EN,ES,5,El Paso,El Paso/Juarez,
157,49,EN,ES,4,El Paso,El Paso/Juarez,
158,40,EN,ES,2,El Paso,El Paso/Juarez,*
159,35,EN,ES,4,El Paso,El Paso/Juarez,
160,38,EN,ES,5,El Paso,El Paso/Juarez,
161,59,EN,ES,4,El Paso,El Paso/Juarez,
162,38,EN,ES,5,El Paso,El Paso/Juarez,
163,49,EN,ES,4,El Paso,El Paso/Juarez,
164,40,EN,ES,2,El Paso,El Paso/Juarez,*
165,35,EN,ES,4,El Paso,El Paso/Juarez,
166,40,EN,ES,2,El Paso,El Paso/Juarez,*
167,59,EN,ES,4,El Paso,El Paso/Juarez,
168,35,EN,ES,4,El Paso,El Paso/Juarez,
169,59,EN,ES,4,El Paso,El Paso/Juarez,
170,40,EN,ES,2,El Paso,El Paso/Juarez,*
171,40,EN,ES,2,El Paso,El Paso/Juarez,*
172,38,EN,ES,5,El Paso,El Paso/Juarez,
173,60,EN,ES,1,East Texas,Chihuahua City ,
174,35,EN,ES,4,El Paso,El Paso/Juarez,
175,59,EN,ES,4,El Paso,El Paso/Juarez,
176,38,EN,ES,5,El Paso,El Paso/Juarez,
177,40,EN,ES,2,El Paso,El Paso/Juarez,*
178,61,EN,ES,3,El Paso,El Paso/Juarez,
179,59,EN,ES,4,El Paso,El Paso/Juarez,
180,38,EN,ES,5,El Paso,El Paso/Juarez,
181,59,EN,ES,4,El Paso,El Paso/Juarez,
182,35,EN,ES,4,El Paso,El Paso/Juarez,
183,23,EN,ES,1,El Paso,El Paso/Juarez,
184,50,EN,ES,3,El Paso,El Paso/Juarez,
185,62,EN,ES,4,El Paso,El Paso/Juarez,
186,63,EN,ES,4,El Paso,El Paso/Juarez,
187,59,EN,ES,4,El Paso,El Paso/Juarez,
188,38,EN,ES,5,El Paso,El Paso/Juarez,
189,3,EN,ES,3,El Paso,El Paso/Juarez,
190,38,EN,ES,5,El Paso,El Paso/Juarez,
191,40,EN,ES,2,El Paso,El Paso/Juarez,*
192,35,EN,ES,4,El Paso,El Paso/Juarez,
193,49,EN,ES,4,El Paso,El Paso/Juarez,
194,40,EN,ES,2,El Paso,El Paso/Juarez,*
195,59,EN,ES,4,El Paso,El Paso/Juarez,
196,64,EN,ES,4,El Paso,El Paso/Juarez,
197,65,EN,ES,4,El Paso,El Paso/Juarez,
198,40,EN,ES,2,El Paso,El Paso/Juarez,*
199,40,EN,ES,2,El Paso,El Paso/Juarez,*
200,50,EN,ES,3,El Paso,El Paso/Juarez,
201,59,EN,ES,4,El Paso,El Paso/Juarez,
202,14,EN,ES,3,El Paso,Chihuahua City,
203,49,EN,ES,4,El Paso,El Paso/Juarez,
204,40,EN,ES,2,El Paso,El Paso/Juarez,*
205,59,EN,ES,4,El Paso,El Paso/Juarez,
206,38,EN,ES,5,El Paso,El Paso/Juarez,
207,38,EN,ES,5,El Paso,El Paso/Juarez,
208,55,EN,ES,2,El Paso,El Paso/Juarez,
209,59,EN,ES,4,El Paso,El Paso/Juarez,
210,35,EN,ES,4,El Paso,El Paso/Juarez,
211,35,EN,ES,4,El Paso,El Paso/Juarez,
212,38,EN,ES,5,El Paso,El Paso/Juarez,
213,49,EN,ES,4,El Paso,El Paso/Juarez,
214,50,EN,ES,3,El Paso,El Paso/Juarez,
215,59,EN,ES,4,El Paso,El Paso/Juarez,
216,66,EN,ES,4,El Paso,El Paso/Juarez,
217,59,EN,ES,4,El Paso,El Paso/Juarez,
218,40,EN,ES,2,El Paso,El Paso/Juarez,*
219,46,EN,ES,5,El Paso,El Paso/Juarez,
220,50,EN,ES,3,El Paso,El Paso/Juarez,
221,49,EN,ES,4,El Paso,El Paso/Juarez,
222,40,EN,ES,2,El Paso,El Paso/Juarez,*
223,40,EN,ES,2,El Paso,El Paso/Juarez,*
224,38,EN,ES,5,El Paso,El Paso/Juarez,
225,40,EN,ES,2,El Paso,El Paso/Juarez,*
226,50,EN,ES,3,El Paso,El Paso/Juarez,
227,40,EN,ES,2,El Paso,El Paso/Juarez,*
228,67,EN,ES,5,El Paso,El Paso/Juarez,
229,35,EN,ES,4,El Paso,El Paso/Juarez,
230,38,EN,ES,5,El Paso,El Paso/Juarez,
231,49,EN,ES,4,El Paso,El Paso/Juarez,
232,59,EN,ES,4,El Paso,El Paso/Juarez,
233,68,EN,ES,5,El Paso,El Paso/Juarez,
234,69,EN,ES,5,El Paso,El Paso/Juarez,
235,38,EN,ES,5,El Paso,El Paso/Juarez,
236,55,EN,ES,2,El Paso,El Paso/Juarez,
237,46,EN,ES,5,El Paso,El Paso/Juarez,
238,65,EN,ES,4,El Paso,El Paso/Juarez,
239,59,EN,ES,4,El Paso,El Paso/Juarez,
240,50,EN,ES,3,El Paso,El Paso/Juarez,
241,40,EN,ES,2,El Paso,El Paso/Juarez,*
242,38,EN,ES,5,El Paso,El Paso/Juarez,
243,40,EN,ES,2,El Paso,El Paso/Juarez,*
244,38,EN,ES,5,El Paso,El Paso/Juarez,
245,40,EN,ES,2,El Paso,El Paso/Juarez,*
246,50,EN,ES,3,El Paso,El Paso/Juarez,
247,50,EN,ES,3,El Paso,El Paso/Juarez,
248,67,EN,ES,5,El Paso,El Paso/Juarez,
249,46,EN,ES,5,El Paso,El Paso/Juarez,
250,40,EN,ES,2,El Paso,El Paso/Juarez,*
251,40,EN,ES,2,El Paso,El Paso/Juarez,*
252,38,EN,ES,5,El Paso,El Paso/Juarez,
253,50,EN,ES,3,El Paso,El Paso/Juarez,
254,67,EN,ES,5,El Paso,El Paso/Juarez,
255,49,EN,ES,4,El Paso,El Paso/Juarez,
256,40,EN,ES,2,El Paso,El Paso/Juarez,*
257,59,EN,ES,4,El Paso,El Paso/Juarez,
258,38,EN,ES,5,El Paso,El Paso/Juarez,
259,49,EN,ES,4,El Paso,El Paso/Juarez,
260,50,EN,ES,3,El Paso,El Paso/Juarez,
261,40,EN,ES,2,El Paso,El Paso/Juarez,*
262,67,EN,ES,5,El Paso,El Paso/Juarez,
263,38,EN,ES,5,El Paso,El Paso/Juarez,
264,59,EN,ES,4,El Paso,El Paso/Juarez,
